CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,creditBy,status,questionState,questionMasterId
MOVIE MUSIC,none,ADULT,Nederland,35,Wie schreef de originele 'Men in Black' song?,Rhonda Smith,Carmen Lundy,Diana Ross,Patrice Rushen,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/GkW6J1638036994301.mp3,2,,0,0,159759
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film met Quincy Jones muziek speelde Mike Myers geen rol?,Scott Evil,Austin Powers,Dr. Evil,Fat Bastard,Scott Evil werd gespeeld door Seth Green!,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/RjoRN1638037473028.mp3,2,,0,0,159765
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke Quentin Tarantino film komt dit lied van Randy Crawford?,Django Unchained,Jackie Brown,From Dusk Till Dawn,Death Proof,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/J1nI21638038144932.mp3,2,,0,0,159771
MOVIE MUSIC,none,ADULT,Nederland,35,Een van deze films had geen Rick Springfield titel song. Welke?,13 Going on 30,Suicide Squad,Meet the Parents,Boogie Nights,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/BJXQh1638038765123.mp3,2,,0,0,159779
MOVIE MUSIC,none,ADULT,Nederland,35,Wie zat in het Whoopi Goldberg koor in de film 'Sister Act 2'?,Beyoncé Knowles,Kelly Rowland,Alicia Keys,Lauryn Hill,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/ytbwh1638039345666.mp3,2,,0,0,159783
MOVIE MUSIC,none,ADULT,Nederland,35,Wie vangt Princess Fiona's boeket op in de Shrek scene tijdens dit lied?,Dragon,Donkey,Fairy Godmother,Cinderella,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/qKxIH1638039950122.mp3,2,,0,0,159791
MOVIE MUSIC,none,ADULT,Nederland,35,Welk Reservoir Dogs' karakter laat een memorabele dans act zien tijdens de 'Stealers Wheel' track?,Mr. Pink,Mr. Blonde,Mr. Orange,Mr. White,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/4u7fe1638040646941.mp3,2,,0,0,159795
MOVIE MUSIC,none,ADULT,Nederland,35,"Uit welke film in 2008 komt dit door A.R. Rahman gecomposeerd lied, tijdens een emotioneel moment?",The Darjeeling Limited,Eat Pray Love,Slumdog Millionaire,Viceroy's House,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/fGDyK1638041438627.mp3,2,,0,0,159801
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de moordenaar!,Leon (The Professional),John Wick,Anton Chigurh,Beatrix "The Bride" Kiddo,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/DrQGB1638041897581.mp3,2,,0,0,159805
MOVIE MUSIC,none,ADULT,Nederland,35,Welke fictieve zingende celebrity moet Kevin Costner beschermen in de 'Bodyguard'?,Rachel Marron,Whitney Houston,Julia Biggs,Anna Scott,Rachel Marron is de celebrity die gespeeld wordt door Whiney Houston!,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/qhd1Y1638042527290.mp3,2,,0,0,159809
MOVIE MUSIC,none,ADULT,Nederland,35,"'De Gipsy Kings' namen een spaanse versie op van deze song, die gebruikt werd in een slow motion scene met John Turturro als Jesus Quintana, in welke film?",Mr. Deeds,The Big Lebowski,You Don't Mess with the Zohan,Fading Gigolo,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/6i1no1638117319619.mp3,2,,0,0,159817
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke film helicopter scene komt dit lied van 'The Doors'?,Full Metal Jacket,Apocolypse Now,Platoon,The Deer Hunter,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/bimvk1638043432941.mp3,2,,0,0,159829
MOVIE MUSIC,none,ADULT,Nederland,35,In 1 van deze films kwam dit nummer van 'The Knack' niet voor. Welke was dat?,Reality Bites,Super 8,Charlie's Angels: Full Throttle,Singles,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/S26ud1638044168398.mp3,2,,0,0,159831
MOVIE MUSIC,none,ADULT,Nederland,35,In welke andere taal dan engels wordt gezongen in deze 'Lion King' classic?,Zulu,Swahili,Amharic (Ethiopisch),Berbers,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/jtwni1638044965637.mp3,2,,0,0,159841
