CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Something in Creams White Room is black - what is it?,The Door,The Walls,The Curtains,The Table,C,,93-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who wrote I Want To Be Your Man, the second single from The Rolling Stones?",Stevie Wonder,Lennon and McCartney,Muddy Waters,Jagger and Richards,B,,94-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What were the Kinks, Cream, and The Pogues known for doing on stage?",Fighting,Playing with their backs turned,Replacing their singer with a fan,Wearing costumes,A,,95-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Based on worldwide sales, who's the most successful duo of all time?",Hall & Oates,The Eurythmics,The Proclaimers,Simon and Garfunkel,A,,96-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Whos this prolific producer, who created the first colour graphics tablet software for Apple but prefers to bang the drum all day?",Giorgio Moroder,Thomas Dolby,Matt Aitken,Todd Rundgren,D,,97-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How much does Australia love ABBA? It's said their 76 TV special was watched by more people than what historic event?,The Sydney Olympics,The '69 Moon Landing,The Wedding of Princess Margaret,Elvis Live from Honolulu,B,,98-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Whose name is an acronym of their members first names?,INXS,ABBA,AC/DC,CCR,B,,99-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Name the Roberta Flack duet partner who taught Amy Winehouse everything she needed to know in Rehab.,Barry White,Luther Vandross,Donny Hathaway,Lou Rawls,C,,100-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What's whispered in 10ccs I'm Not in Love?,I spy something,Big Boys Don't Cry,This means nothing to me,I cant believe in,B,,101-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which song doesnt contain lyrics that repeat its title in French?,Call Me - Blondie,Games Without Frontiers - Peter Gabriel,All Around the World - Lisa Stansfield,Eyes Without a Face - Billy Idol,C,,102-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who released an album with a title containing one word from the language spoken by Nena and Falco?,U2,Cher,Depeche Mode,Santana,A,,103-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Which member do Traffic, Blind Faith, and The Spencer Davis Group have in common?",Jimi Hendrix,Steve Winwood,Ginger Baker,Eric Clapton,B,,104-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who did The Four Seasons and Steve Perry write a song about?,Mandy,Sherry,Carrie,Cherry,B,,105-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which of these bands was named for their lead singer?,Manfred Mann,The Spencer Davis Group,Van Halen,Gerry and the Pacemakers,D,,106-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is this super duper python-wielders signature song?,Fire,Brandy,Mother,School's Out,D,,107-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How many times has Stevie Nicks quit Fleetwood Mac?,Never,1,3,7,B,,108-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3",30,Which song does not feature a cowbell (even though the singer is part of SNL's cowbell sketch)?,Don't Fear the Reaper - Blue Oyster Cult,Lowrider - War,Run to the Hills - Iron Maiden,Honky Tonk Women - The Rolling Stones,C,,109-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What oft-covered song ends with and god I know I'm one?
",Hallelujah,House of the Rising Sun,Ain't No Sunshine,Stairway to Heaven,B,,110-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"The Wolfman in the Guess Whos Clap for the Wolfman, was a real person - what did he do?",Radio DJ,Horror Actor,Politician,Hockey Player,A,,111-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who made The Crystals hearts stand still when he walked them home in Da Doo Ron Ron?,Bill,Dave,Harry,Johnny,A,,112-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What influential band did Alex Chilton leave the Box Tops to form in 1972?,R.E.M.,The Replacements,The Talking Heads,Big Star,D,,113-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What band was assembled by a German record producer who sang all the male parts on their albums?,Boney M,Milli Vanilli,Chic,The Archies,A,,114-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who's the designer known for dressing Cher?,Valentino,Gianni Versace,Halston,Bob Mackie,D,,115-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Do you remember what date is mentioned in Earth Wind & Fire's September?,14-Feb,New Year's Eve,21-Sep,25-Aug,C,,116-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which of these family bands were not actually related?,The Carpenters,The Osmonds,The Partridge Family,The Ronettes,C,,117-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which singer has recorded the most James Bond themes?,Tom Jones,Lulu,Paul McCartney,Shirley Bassey,D,,118-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Coal Miner's Daughter will you find if you follow the sign to Butcher Holler?,Loretta Lynn,Dolly Parton,Tammy Wynette,Reba McEntire,A,,119-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What did Marvin Gaye do at Motown before recording his own music?,Answered the phones,Maintenance,Session drummer,Accountant,C,,120-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Crosby Stills Nash & Young was made up of musicians from 3 major bands. Which isn't one of them?,The Byrds,The Hollies,Buffalo Springfield,The Eagles,D,,121-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,4,30,2 songs with the word fandango tied for best single since 1952 at the 1977 Brit Awards. One was Bohemian Rhapsody. What was the other?,Nights in White Satin - The Moody Blues,A Whiter Shade of Pale - Procol Harum,Come Together - The Beatles,Staying Alive - Bee Gees,B,,122-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Name the solitary man who wrote I'm a Believer and Red Red Wine?,Neil Diamond,Jackson Browne,Warren Zevon,Billy Bragg,A,,123-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What connects Mike Nesmith, John Phillips, and Slash?",Bass players,They don't sing,All the same age,A love of hats,D,,124-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What is the most-played song of the 20th century, aired over 8 million times?",You've Lost That Loving Feeling,Stand By Me,Georgia on My Mind,Yesterday,A,,125-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who wasn't part of The Band's The Last Waltz finale show?,Joni Mitchell,Neil Young,Neil Diamond,Mick Jagger,D,,126-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What are Nancy Sinatra's boots going to do one day?,Walk all over you,Walk away from you,Walk over to you,Mess around on you,A,,127-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What's the first age mentioned in T.Rexs Cosmic Dancer?,12,9,1,24,A,,128-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What did Freddie Mercury use as an inspiring headboard?,A recording console,A piano,A cat tree,A bookshelf,B,,129-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What 60s song has been covered by The Ventures, Glen Campbell, Cannibal Corpse, Brian Setzer, Moby, and Crazy Frog?",Axel F,Ghostbusters,James Bond Theme,Jump Jive and Wail,C,,130-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"If Sam Cooke can't find a date, what day of the week is it?",Another Saturday night,Manic Monday,Sunday Morning Coming Down,Friday I'm in Love,A,,131-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which song doesn't include its title in its opening line?,Hey Jude - The Beatles,(Sittin on) the Dock of the Bay - Otis Redding,Under My Thumb - The Rolling Stones,"Oh, Pretty Woman Roy Orbison",B,,132-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What word is not featured in the title of an 80s classic?,Relax,Reflex,Respect,Roadrunner,D,,133-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who made an appearance in Bob Marleys Is This Love? video at age 7, and tap danced in Culture Clubs Ill Tumble 4 Ya?",Prince,Madonna,Billy Idol,Naomi Campbell,D,,134-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who didnt release an album in the 80s?,Eddie Murphy,David Hasselhoff,Tracy Ullman,Patrick Swayze,D,,135-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What band never made promises to play live, because it would have been too hard to replicate their tech-heavy studio sound?",Naked Eyes,Simple Minds,Erasure,Pet Shop Boys,A,,136-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Where did the couple in Human Leagues Dont You Want Me meet?,Shopping Mall,House Party,Cocktail Bar,Music Festival,C,,137-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who is this As Tears Go By singer, who was once devoted to Mick Jagger?",Marianne Faithfull,Petula Clarke,Brigitte Bardot,Nico,A,,138-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How many verses are there in Sugarhill Gangs Rappers Delight?,0,2,4,10,D,,139-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What are those squiggly lines on the cover of Joy Divisions Unknown Pleasures depicting?,Sound Waves,Pulsating Star,Heartbeat,Heat waves,B,,140-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is the waitress on the cover of Supertramps Breakfast In America serving?,Pancakes,Kippers,Orange Juice,Steak,C,,141-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was the first live album to hit #1 in the UK?,The Song Remains the Same - Peter Frampton,Frampton Comes Alive - Peter Frampton,Get Yer Ya-Ya's Out - The Rolling Stones,Rattle and Hum - U2,C,,142-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What hirsute band released Odessa, an album with an equally fuzzy red velvet cover?",Whitesnake,The Bee Gees,Motley Crue,Fleetwood Mac,B,,143-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was not on the original album cover for The Beatles' Yesterday and Today?,The Band Members,Raw Meat,An Apple,Plastic Dolls,C,,144-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is Stevie Wonder's real first name?,Stephan,Wayne,Steveland,Stefanos,C,,145-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Which Peter, Paul & Mary song did the band write themselves?",Leaving on a Jet Plane,If I Had a Hammer,Puff the Magic Dragon,Lemon Tree,C,,146-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Where the Sidewalk Ends poet wrote Johnny Cash's A Boy Named Sue?,Shel Silverstein,Roald Dahl,Theodor Geisel,A.A. Milne,A,,147-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who voiced King Louie in the 1967 animated version of The Jungle Book?,Louis Prima,Frank Sinatra,Paul Anka,Louis Armstrong,A,,148-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who's watching the detectives through his signature specs?,Elvis Costello,Buddy Holly,Elton John,Jarvis Cocker,A,,149-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,4,30,What made-for-TV band used their name as a verb in many of their song titles?,The Arrogant Worms,The Wombles,The Archies,Alvin and the Chipmunks,B,,150-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"JUNIOR,TEEN","2,3,4,1,21",30,Which of these artists is just one person and not a band?,Pink Floyd,Elton John,Fleetwood Mac,Mungo Jerry,B,,151-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,What dreamy rock band is this?,Blondie,The Bangles,The Pointer Sisters,Fleetwood Mac,D,,152-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,What band does this jumpin' jack sing in?,Led Zeppelin,Duran Duran,The Rolling Stones,The Talking Heads,C,,153-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,Hey! What Redbone song is on the first Guardians of the Galaxy soundtrack?,Still the One,Come and Get Your Love,Rocketman,I Want You Back,B,,154-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"JUNIOR,TEEN","2,3,4,1,21",30,"If there's something strange in your neighbourhood, who you gonna call?",Sweet Caroline,Mony Mony,Ghostbusters,Superfly,C,,155-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,Who is this Sweet Dreams singer?,Ronnie Spector,Aretha Franklin,Debbie Harry,Annie Lennox,D,,156-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,It's the time of the season... for brains? Who is this creepy band?,The Misfits,The Zombies,The Trolls,The Groovy Ghoulies,B,,157-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"TEEN,ADULT","2,3,4,1,21",30,How does Yellow Submarine start?,"Underground, where I was born","Underground, there was a man",In the town where I was born,"Long ago, there was a man",C,,158-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What comes before the words ""All you have to do is call"" in Carole King and James Taylor's You've Got a Friend?",The seasons,Days of the week,A phone number,Nothing - that's the first line,A,,159-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,TEEN,"2,3,4,1,21",30,What nickname was given to the crosswalk The Beatles put on their album cover?,Penny Lane,Ringo Road,Zebra Crossing,Abbey Road,C,,160-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What is the last name of ZZ Tops drummer, Frank?",Zappa,Gibbons,Topper,Beard,D,,161-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Whos pulling up to the bumper?,Grace Slick,Grace Jones,Janet Jackson,George Clinton,B,,162-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who is Captain Fantastics songwriting sidekick?,Bernie Taupin,Phil Collins,Tim Rice,Billy Joel,A,,163-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What inflatable animal is associated with Pink Floyd?,Bear,Sheep,Pig,Dog,C,,164-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is this character's name?,Aladdin Sane,Rocketman,Sgt. Pepper,Captain Beefheart,A,,165-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
